item,tier,term,source_type,relation,decision,in_primary_query,reason
Depressed,lay,unhappy inside,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Sleep,lay,can't sleep,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Sleep,lay,couldn't sleep,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Sleep,lay,up all night,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Sleep,lay,wide awake,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Sleep,lay,lie awake,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Sleep,lay,lay awake,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Sleep,lay,toss and turn,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Sleep,lay,barely slept,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Sleep,lay,only slept,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Sleep,lay,wake up in the middle of the night,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Sleep,lay,trouble sleeping,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Sleep,lay,hard time sleeping,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Sleep,lay,oversleep,reviewed_lay_expression,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Sleep,lay,sleep all day,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Sleep,lay,nightmares,reviewed_lay_expression,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Sleep,lay,bad dreams,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Sleep,lay,sleeping pills,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Sleep,lay,melatonin,reviewed_lay_expression,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Sleep,lay,sleep schedule,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Sleep,lay,hard to get up,reviewed_lay_expression_mwe,indirect_manifestation,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Sleep,lay,can't stay asleep,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Sleep,lay,clock watching,reviewed_lay_expression_mwe,indirect_manifestation,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Sleep,lay,day sleeper,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Sleep,lay,hit the hay early,reviewed_lay_expression_mwe,indirect_manifestation,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Sleep,lay,hit the hay late,reviewed_lay_expression_mwe,indirect_manifestation,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Sleep,lay,night owl,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Sleep,lay,restless nights,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Sleep,lay,stay in bed,reviewed_lay_expression_mwe,indirect_manifestation,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Sleep,lay,worn out from lack of sleep,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Sleep,lay,yawn a lot,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Tired,lay,worn out,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Tired,lay,wiped out,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Tired,lay,burned out,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Tired,lay,burnt out,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Tired,lay,no energy,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Tired,lay,run down,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Tired,lay,no get up and go,reviewed_lay_expression_mwe,indirect_manifestation,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Tired,lay,can barely move,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Tired,lay,everything is an effort,reviewed_lay_expression_mwe,indirect_manifestation,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Tired,lay,everything takes effort,reviewed_lay_expression_mwe,indirect_manifestation,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Tired,lay,no strength,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Tired,lay,always sleepy,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Tired,lay,sleepy all the time,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Tired,lay,can't get out of bed,reviewed_lay_expression_mwe,indirect_manifestation,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Tired,lay,dragging,reviewed_lay_expression,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Tired,lay,heavy limbs,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Tired,lay,no stamina,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Tired,lay,out of it,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Tired,lay,always tired,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Tired,lay,can't seem to stay awake,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Tired,lay,dead tired,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Tired,lay,exhausted easily,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Tired,lay,feel heavy,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Tired,lay,just can't muster up,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Tired,lay,lack of pep,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Tired,lay,low on fuel,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Tired,lay,need a lot of rest,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Tired,lay,physically drained,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Tired,lay,sleepy most of the time,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Tired,lay,slow start,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Tired,lay,tired even after sleep,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Tired,lay,trouble getting going,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Tired,lay,weak feeling,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Appetite,lay,not hungry,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Appetite,lay,no appetite,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Appetite,lay,don't feel like eating,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Appetite,lay,forget to eat,reviewed_lay_expression_mwe,indirect_manifestation,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Appetite,lay,skip meals,reviewed_lay_expression_mwe,indirect_manifestation,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Appetite,lay,barely eat,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Appetite,lay,eating less,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Appetite,lay,eating more,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Appetite,lay,food doesn't taste,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Appetite,lay,lost weight,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Appetite,lay,gained weight,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Appetite,lay,put on weight,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Appetite,lay,comfort eating,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Appetite,lay,stress eating,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Appetite,lay,binge,reviewed_lay_expression,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Appetite,lay,junk food,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Appetite,lay,no interest in food,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Appetite,lay,force myself to eat,reviewed_lay_expression_mwe,indirect_manifestation,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Appetite,lay,can't stop eating,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Appetite,lay,comfort food overload,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Appetite,lay,eat everything in sight,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Appetite,lay,fill up quickly,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Appetite,lay,food coma,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Appetite,lay,gorging,reviewed_lay_expression,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Appetite,lay,grazing all day,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Appetite,lay,lose interest in cooking,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Appetite,lay,munchies,reviewed_lay_expression,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Appetite,lay,nibbling,reviewed_lay_expression,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Appetite,lay,pig out,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Appetite,lay,snack constantly,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Appetite,lay,stuff my face,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Failure,lay,hate myself,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Failure,lay,not good enough,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Failure,lay,blame myself,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Failure,lay,beat myself up,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Failure,lay,screwed up,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Failure,lay,messed up,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Failure,lay,let everyone down,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Failure,lay,letting people down,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Failure,lay,burden,reviewed_lay_expression,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Failure,lay,no good at anything,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Failure,lay,hard on myself,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Failure,lay,low self-esteem,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Failure,lay,disappointed in myself,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Failure,lay,embarrassed,reviewed_lay_expression,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Failure,lay,regret,reviewed_lay_expression,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Failure,lay,feel like a loser,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Failure,lay,everything i do is wrong,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Failure,lay,never do anything right,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Failure,lay,always feeling inadequate,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Failure,lay,can't live up to expectations,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Failure,lay,can't shake off guilt,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Failure,lay,don't measure up,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Failure,lay,feel inadequate,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Failure,lay,feel like a failure,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Failure,lay,feel like crap,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
